Date,Open,High,Low,Close,Adj Close,Volume
2013-07-30,890.0,902.474976,887.724976,896.150024,759.720825,2617484.0
2013-07-31,895.0,915.75,894.724976,907.75,769.554871,2826750.0
2013-08-01,905.025024,917.400024,895.0,907.700012,769.512695,2141178.0
2013-08-02,909.849976,924.950012,908.349976,922.924988,782.419739,1846854.0
2013-08-05,920.0,938.700012,920.0,933.599976,791.469482,2355184.0
2013-08-06,936.5,940.974976,932.325012,935.049988,792.698669,2305290.0
2013-08-07,937.0,945.450012,906.724976,911.349976,772.60675,2694980.0
2013-08-08,902.549988,928.075012,891.849976,922.700012,782.229004,2158628.0
2013-08-12,920.5,920.5,904.075012,907.0,768.918945,2077574.0
2013-08-13,910.099976,922.424988,904.974976,909.900024,771.377686,2168296.0
2013-08-14,912.25,929.0,901.0,916.75,777.184937,3302068.0
2013-08-16,912.099976,915.0,877.775024,890.450012,754.888611,2779930.0
2013-08-19,899.0,903.5,877.775024,888.724976,753.426208,2121352.0
2013-08-20,894.900024,894.900024,865.0,868.200012,736.025879,2724844.0
2013-08-21,870.049988,871.849976,850.575012,858.900024,728.141846,3623994.0
2013-08-22,852.5,898.575012,847.599976,889.474976,754.062073,4260988.0
2013-08-23,897.0,919.0,892.150024,914.724976,775.467773,4032884.0
2013-08-26,911.549988,939.299988,907.0,921.0,780.787842,2663238.0
2013-08-27,919.5,939.424988,915.0,919.400024,779.431213,1945284.0
2013-08-28,914.0,973.049988,914.0,953.950012,808.721313,4444684.0
2013-08-29,950.5,985.0,939.150024,973.549988,825.337341,5905182.0
2013-08-30,969.5,1025.0,965.0,1016.599976,861.833496,5282942.0
2013-09-02,1010.0,1034.5,1008.75,1028.425049,871.858521,2154034.0
2013-09-03,1025.050049,1033.5,993.075012,1000.549988,848.226929,2355064.0
2013-09-04,1000.0,1039.400024,996.974976,1034.550049,877.050842,2626516.0
2013-09-05,1034.5,1034.5,990.525024,995.375,843.839966,3927492.0
2013-09-06,1004.5,1012.5,987.5,994.400024,843.013306,2759596.0
2013-09-10,993.0,1008.349976,990.5,993.950012,842.631714,4300972.0
2013-09-11,1004.0,1009.0,991.75,996.900024,845.132935,3008494.0
2013-09-12,997.5,999.275024,972.900024,983.950012,834.154236,1905568.0
2013-09-13,982.5,995.0,973.275024,976.875,828.156372,2096320.0
2013-09-16,975.0,992.5,947.025024,951.275024,806.453552,2460506.0
2013-09-17,950.0,976.275024,948.549988,973.724976,825.48584,3327816.0
2013-09-18,971.025024,982.400024,968.950012,977.25,828.474304,2109818.0
2013-09-19,974.0,995.0,963.25,983.150024,833.476074,3907240.0
2013-09-20,975.0,994.950012,970.5,975.150024,826.694031,3591858.0
2013-09-23,975.0,988.599976,970.0,977.549988,828.728638,2988758.0
2013-09-24,977.5,988.950012,963.0,969.75,822.115967,4940300.0
2013-09-25,970.75,985.474976,960.099976,979.525024,830.402893,4333858.0
2013-09-26,977.400024,987.049988,967.549988,971.450012,823.55719,4919704.0
2013-09-27,971.549988,980.974976,968.724976,974.049988,825.761414,1784666.0
2013-09-30,977.0,980.924988,960.0,963.900024,817.156677,1987350.0
2013-10-01,966.0,977.424988,958.349976,974.525024,826.164001,1591994.0
2013-10-03,985.900024,1018.450012,980.200012,1012.299988,858.188171,4672354.0
2013-10-04,1016.0,1034.5,1013.474976,1016.799988,862.003235,1934032.0
2013-10-07,1017.5,1048.849976,1012.650024,1044.875,885.804138,1993878.0
2013-10-08,1041.5,1049.0,1028.275024,1030.724976,873.80835,1828106.0
2013-10-09,1027.75,1048.824951,1022.549988,1045.425049,886.270386,1775858.0
2013-10-10,1044.0,1049.0,1033.625,1040.0,881.671326,1164320.0
2013-10-11,1051.5,1069.0,1041.199951,1061.025024,899.495422,2284448.0
2013-10-14,1063.75,1112.5,1062.5,1106.375,937.941467,4374460.0
2013-10-15,1117.5,1129.425049,1100.5,1107.699951,939.064453,4665092.0
2013-10-17,1115.0,1115.0,1047.849976,1054.224976,893.730652,6687214.0
2013-10-18,1052.400024,1066.900024,1030.775024,1060.324951,898.901917,5346166.0
2013-10-21,1062.5,1063.974976,1025.0,1035.824951,878.131775,3685372.0
2013-10-22,1044.0,1053.824951,1038.425049,1044.675049,885.634399,2044614.0
2013-10-23,1044.25,1051.5,1023.075012,1030.574951,873.681152,2455496.0
2013-10-24,1021.0,1041.175049,1000.924988,1004.349976,851.448425,3617758.0
2013-10-25,997.5,1036.0,997.5,1033.875,878.2276,2527402.0
2013-10-28,1034.0,1044.900024,1026.275024,1031.974976,876.613647,1803942.0
2013-10-29,1032.5,1042.900024,1023.950012,1034.900024,879.098206,1829076.0
2013-10-30,1035.125,1050.0,1035.125,1045.974976,888.505798,2114874.0
2013-10-31,1044.5,1064.5,1039.699951,1056.025024,897.042908,3523076.0
2013-11-01,1055.0,1070.974976,1045.550049,1048.800049,890.905518,1346480.0
2013-11-05,1050.0,1052.5,1015.849976,1021.0,867.290894,2261286.0
2013-11-06,1031.5,1051.775024,1029.525024,1045.550049,888.144958,1667750.0
2013-11-07,1050.0,1074.074951,1040.150024,1060.974976,901.247559,1956948.0
2013-11-08,1065.0,1065.875,1035.599976,1045.425049,888.038879,1609346.0
2013-11-11,1045.0,1070.0,1025.0,1047.324951,889.652649,1961138.0
2013-11-12,1048.425049,1060.849976,1039.5,1043.574951,886.467102,1000682.0
2013-11-13,1049.474976,1053.099976,1021.825012,1024.5,870.263855,1208338.0
2013-11-14,1036.0,1036.0,1010.924988,1013.099976,860.580139,2129704.0
